Population,Replicate,Treatment,Block,Generation,Female_offspring,Male_offspring
1,1,Female,1,1,20,25
1,1,Female,1,2,25,23
1,1,Female,1,3,0,0
1,1,Female,1,4,0,0
1,1,Female,1,5,0,0
1,1,Female,1,6,0,0
1,1,Female,1,7,0,0
1,1,Female,1,8,0,0
1,1,Female,1,9,0,0
1,1,Female,1,10,0,0
1,1,Female,1,11,0,0
1,1,Female,1,12,0,0
1,1,Female,1,13,0,0
1,4,Female,1,1,54,59
1,4,Female,1,2,51,56
1,4,Female,1,3,0,0
1,4,Female,1,4,0,0
1,4,Female,1,5,0,0
1,4,Female,1,6,0,0
1,4,Female,1,7,0,0
1,4,Female,1,8,0,0
1,4,Female,1,9,0,0
1,4,Female,1,10,0,0
1,4,Female,1,11,0,0
1,4,Female,1,12,0,0
1,4,Female,1,13,0,0
1,5,Female,1,1,37,43
1,5,Female,1,2,42,53
1,5,Female,1,3,37,39
1,5,Female,1,4,17,10
1,5,Female,1,5,NA,NA
1,5,Female,1,6,NA,NA
1,5,Female,1,7,0,0
1,5,Female,1,8,0,0
1,5,Female,1,9,0,0
1,5,Female,1,10,0,0
1,5,Female,1,11,0,0
1,5,Female,1,12,0,0
1,5,Female,1,13,NA,NA
1,6,Female,1,1,43,49
1,6,Female,1,2,9,21
1,6,Female,1,3,21,13
1,6,Female,1,4,30,24
1,6,Female,1,5,23,29
1,6,Female,1,6,2,2
1,6,Female,1,7,18,18
1,6,Female,1,8,2,3
1,6,Female,1,9,4,4
1,6,Female,1,10,0,2
1,6,Female,1,11,1,1
1,6,Female,1,12,0,0
1,6,Female,1,13,0,0
1,8,Female,1,1,41,53
1,8,Female,1,2,29,37
1,8,Female,1,3,17,27
1,8,Female,1,4,0,0
1,8,Female,1,5,0,0
1,8,Female,1,6,0,0
1,8,Female,1,7,0,0
1,8,Female,1,8,0,0
1,8,Female,1,9,0,0
1,8,Female,1,10,0,0
1,8,Female,1,11,0,0
1,8,Female,1,12,0,0
1,8,Female,1,13,0,0
1,11,Female,2,1,11,28
1,11,Female,2,2,9,14
1,11,Female,2,3,19,12
1,11,Female,2,4,0,0
1,13,Female,2,1,6,7
1,13,Female,2,2,48,49
1,13,Female,2,3,31,34
1,13,Female,2,4,32,42
1,14,Female,2,1,16,9
1,14,Female,2,2,38,45
1,14,Female,2,3,19,20
1,14,Female,2,4,8,19
1,15,Female,2,1,12,25
1,15,Female,2,2,50,61
1,15,Female,2,3,25,16
1,15,Female,2,4,26,40
1,17,Female,2,1,24,21
1,17,Female,2,2,0,0
1,17,Female,2,3,0,0
1,17,Female,2,4,0,0
1,18,Female,2,1,12,14
1,18,Female,2,2,26,29
1,18,Female,2,3,10,22
1,18,Female,2,4,24,23
1,19,Female,2,1,18,29
1,19,Female,2,2,40,45
1,19,Female,2,3,9,11
1,19,Female,2,4,27,43
2,1,Female,1,1,55,60
2,1,Female,1,2,27,24
2,1,Female,1,3,17,17
2,1,Female,1,4,0,0
2,1,Female,1,5,0,0
2,1,Female,1,6,0,0
2,1,Female,1,7,0,0
2,1,Female,1,8,0,0
2,1,Female,1,9,0,0
2,1,Female,1,10,0,0
2,1,Female,1,11,0,0
2,1,Female,1,12,0,0
2,1,Female,1,13,0,0
2,3,Female,1,1,56,74
2,3,Female,1,2,4,6
2,3,Female,1,3,4,6
2,3,Female,1,4,6,6
2,3,Female,1,5,0,0
2,3,Female,1,6,0,0
2,3,Female,1,7,0,0
2,3,Female,1,8,0,0
2,3,Female,1,9,0,0
2,3,Female,1,10,0,0
2,3,Female,1,11,0,0
2,3,Female,1,12,0,0
2,3,Female,1,13,0,0
2,5,Female,1,1,55,56
2,5,Female,1,2,40,42
2,5,Female,1,3,23,27
2,5,Female,1,4,27,16
2,5,Female,1,5,1,2
2,5,Female,1,6,0,0
2,5,Female,1,7,0,0
