Population,Replicate,Treatment,Block,Generation,Female_offspring,Male_offspring,,
16,1,Male,1,1,56,69,,
16,2,Male,1,1,40,66,,
16,3,Male,1,1,38,48,,
16,4,Male,1,1,34,49,,
16,5,Male,1,1,48,53,,
16,7,Male,1,1,74,68,,
28,1,Control,1,1,66,57,,
28,2,Control,1,1,33,33,,
28,4,Control,1,1,50,55,,
28,5,Control,1,1,20,13,,
28,6,Control,1,1,36,58,,
5,2,Female,1,1,65,46,,
5,3,Female,1,1,20,31,,
5,4,Female,1,1,57,62,,
5,5,Female,1,1,44,57,,
5,7,Female,1,1,8,17,,
17,1,Male,1,1,28,25,,
17,3,Male,1,1,61,56,,
17,4,Male,1,1,57,69,,
17,5,Male,1,1,61,73,,
17,6,Male,1,1,0,0,,
29,1,Control,1,1,18,21,,
29,3,Control,1,1,33,29,,
29,4,Control,1,1,25,28,,
29,5,Control,1,1,47,56,,
29,7,Control,1,1,63,48,,
6,1,Female,1,1,57,59,,
6,6,Female,1,1,87,62,,
6,7,Female,1,1,49,53,,
6,9,Female,1,1,54,63,,
6,10,Female,1,1,55,71,,
18,2,Male,1,1,54,64,,
18,3,Male,1,1,69,65,,
18,4,Male,1,1,40,43,,
18,6,Male,1,1,59,62,,
18,7,Male,1,1,48,49,,
30,1,Control,1,1,34,50,,
30,3,Control,1,1,38,47,,
30,4,Control,1,1,38,56,,
30,6,Control,1,1,28,34,,
30,7,Control,1,1,44,52,,
7,3,Female,1,1,55,64,,
7,4,Female,1,1,45,65,,
7,5,Female,1,1,49,46,,
7,6,Female,1,1,56,67,,
7,8,Female,1,1,23,29,,
19,1,Male,1,1,35,55,,
19,3,Male,1,1,62,57,,
19,5,Male,1,1,40,43,,
19,6,Male,1,1,28,62,,
19,8,Male,1,1,25,33,,
31,4,Control,1,1,31,41,,
31,5,Control,1,1,46,45,,
31,6,Control,1,1,10,13,,
31,7,Control,1,1,44,44,,
31,8,Control,1,1,57,44,,
8,3,Female,1,1,62,60,,
8,4,Female,1,1,0,0,,
8,7,Female,1,1,47,43,,
8,10,Female,1,1,45,41,,
20,2,Male,1,1,65,49,,
20,4,Male,1,1,23,25,,
20,5,Male,1,1,39,47,,
20,6,Male,1,1,36,51,,
20,7,Male,1,1,0,0,,
32,2,Control,1,1,35,34,,
32,3,Control,1,1,54,34,,
32,4,Control,1,1,55,44,,
32,5,Control,1,1,55,68,,
32,6,Control,1,1,46,80,,
9,1,Female,1,1,38,59,,
9,2,Female,1,1,42,65,,
9,4,Female,1,1,0,0,,
9,5,Female,1,1,51,67,,
9,6,Female,1,1,28,35,,
21,1,Male,1,1,54,57,,
21,2,Male,1,1,27,35,,
21,3,Male,1,1,37,28,,
21,5,Male,1,1,54,51,,
21,7,Male,1,1,58,62,,
33,4,Control,1,1,45,42,,
33,5,Control,1,1,35,49,,
33,7,Control,1,1,5,13,,
33,8,Control,1,1,33,37,,
10,2,Female,1,1,40,44,,
10,3,Female,1,1,54,50,,
10,4,Female,1,1,41,52,,
10,5,Female,1,1,59,62,,
10,6,Female,1,1,56,41,,
22,3,Male,1,1,43,42,,
22,6,Male,1,1,58,59,,
22,8,Male,1,1,56,47,,
22,9,Male,1,1,61,42,,
34,1,Control,1,1,3,4,,
34,2,Control,1,1,22,16,,
34,3,Control,1,1,27,27,,
34,5,Control,1,1,4,5,,
34,6,Control,1,1,4,4,,
1,1,Female,1,1,20,25,,
1,4,Female,1,1,54,59,,
1,5,Female,1,1,37,43,,
1,6,Female,1,1,43,49,,
1,8,Female,1,1,41,53,,
13,1,Male,1,1,48,53,,
13,2,Male,1,1,42,42,,
13,4,Male,1,1,21,16,,
13,5,Male,1,1,57,55,,
25,1,Control,1,1,58,47,,
25,3,Control,1,1,56,59,,
25,4,Control,1,1,0,2,,
25,5,Control,1,1,58,48,,
25,6,Control,1,1,24,34,,
2,1,Female,1,1,55,60,,
2,3,Female,1,1,56,74,,
2,5,Female,1,1,55,56,,
2,6,Female,1,1,43,43,,
2,7,Female,1,1,42,44,,
2,8,Female,1,1,44,40,,
2,10,Female,1,1,53,57,,
14,2,Male,1,1,48,39,,
14,3,Male,1,1,43,18,,
14,5,Male,1,1,42,46,,
14,6,Male,1,1,35,42,,
14,7,Male,1,1,56,47,,
26,2,Control,1,1,28,19,,
26,6,Control,1,1,8,21,,
26,8,Control,1,1,28,17,,
26,9,Control,1,1,22,30,,
26,10,Control,1,1,64,40,,
3,3,Female,1,1,29,47,,
3,5,Female,1,1,31,43,,
3,6,Female,1,1,51,44,,
3,7,Female,1,1,71,64,,
3,8,Female,1,1,48,54,,
3,10,Female,1,1,51,53,,
15,1,Male,1,1,62,52,,
15,2,Male,1,1,46,33,,
15,3,Male,1,1,54,65,,
15,4,Male,1,1,44,65,,
15,5,Male,1,1,72,55,,
27,2,Control,1,1,36,43,,
27,3,Control,1,1,36,34,,
27,4,Control,1,1,56,50,,
27,5,Control,1,1,38,55,,
27,6,Control,1,1,47,35,,
11,1,Female,1,1,76,42,,
11,3,Female,1,1,60,52,,
11,4,Female,1,1,54,40,,
11,5,Female,1,1,57,55,,
11,7,Female,1,1,28,48,,
23,1,Male,1,1,20,32,,
23,2,Male,1,1,41,63,,
23,3,Male,1,1,43,55,,
23,4,Male,1,1,37,29,,
23,5,Male,1,1,53,52,,
35,1,Control,1,1,72,48,,
35,2,Control,1,1,67,59,,
35,3,Control,1,1,53,55,,
35,4,Control,1,1,61,54,,
35,5,Control,1,1,73,59,,
12,6,Female,1,1,58,54,,
12,7,Female,1,1,65,55,,
12,8,Female,1,1,57,50,,
12,9,Female,1,1,19,19,,
24,1,Male,1,1,51,67,,
24,2,Male,1,1,37,43,,
24,4,Male,1,1,40,47,,
24,6,Male,1,1,35,54,,
24,8,Male,1,1,43,60,,
36,1,Control,1,1,55,65,,
36,2,Control,1,1,33,35,,
36,3,Control,1,1,34,40,,
36,4,Control,1,1,27,43,,
36,5,Control,1,1,59,24,,
4,1,Female,1,1,54,59,,
4,2,Female,1,1,58,66,,
4,7,Female,1,1,61,63,,
4,9,Female,1,1,44,45,,
16,1,Male,1,2,60,42,,
16,2,Male,1,2,60,73,,
16,3,Male,1,2,57,43,,
16,4,Male,1,2,22,30,,
16,5,Male,1,2,36,32,,
16,7,Male,1,2,27,33,,
28,1,Control,1,2,37,22,,
28,2,Control,1,2,22,25,,
28,4,Control,1,2,55,60,,
28,5,Control,1,2,60,42,,
28,6,Control,1,2,36,53,,
5,2,Female,1,2,62,57,,
5,3,Female,1,2,28,27,,
5,4,Female,1,2,45,49,,
5,5,Female,1,2,25,37,,
5,7,Female,1,2,23,28,,
17,1,Male,1,2,13,17,,
17,3,Male,1,2,37,34,,
17,4,Male,1,2,49,38,,
17,5,Male,1,2,52,44,,
17,6,Male,1,2,0,0,,
29,1,Control,1,2,39,32,,
29,3,Control,1,2,9,19,,
29,4,Control,1,2,18,37,,
29,5,Control,1,2,28,24,,
29,7,Control,1,2,51,41,,
6,1,Female,1,2,26,43,,
6,6,Female,1,2,59,61,,
6,7,Female,1,2,55,60,,
6,9,Female,1,2,48,51,,
6,10,Female,1,2,57,52,,
18,2,Male,1,2,54,41,,
18,3,Male,1,2,57,58,,
18,4,Male,1,2,47,50,,
18,6,Male,1,2,42,50,,
18,7,Male,1,2,37,42,,
30,1,Control,1,2,31,35,,
30,3,Control,1,2,36,21,,
30,4,Control,1,2,50,62,,
30,6,Control,1,2,0,0,,
30,7,Control,1,2,39,49,,
7,3,Female,1,2,41,20,,
7,4,Female,1,2,0,0,,
7,5,Female,1,2,58,60,,
7,6,Female,1,2,31,31,,
7,8,Female,1,2,60,54,,
19,1,Male,1,2,39,38,,
19,3,Male,1,2,43,23,,
19,5,Male,1,2,37,35,,
19,6,Male,1,2,39,33,,
19,8,Male,1,2,34,37,,
31,4,Control,1,2,47,53,,
31,5,Control,1,2,44,34,,
31,6,Control,1,2,34,53,,
31,7,Control,1,2,40,42,,
31,8,Control,1,2,47,38,,
8,3,Female,1,2,5,8,,
8,4,Female,1,2,0,0,,
8,7,Female,1,2,9,4,,
8,10,Female,1,2,48,51,,
20,2,Male,1,2,26,35,,
20,4,Male,1,2,0,1,,
20,5,Male,1,2,42,29,,
20,6,Male,1,2,38,45,,
20,7,Male,1,2,0,0,,
32,2,Control,1,2,0,0,,
32,3,Control,1,2,24,40,,
32,4,Control,1,2,34,38,,
32,5,Control,1,2,10,10,,
32,6,Control,1,2,52,50,,
9,1,Female,1,2,17,24,,
9,2,Female,1,2,25,34,,
9,4,Female,1,2,0,0,,
9,5,Female,1,2,37,31,,
9,6,Female,1,2,0,0,,
21,1,Male,1,2,39,60,,
21,2,Male,1,2,41,45,,
21,3,Male,1,2,27,33,,
21,5,Male,1,2,32,32,,
21,7,Male,1,2,40,41,,
33,4,Control,1,2,0,0,,
33,5,Control,1,2,36,36,,
33,7,Control,1,2,9,12,,
33,8,Control,1,2,0,2,,
10,2,Female,1,2,57,52,,
10,3,Female,1,2,52,57,,
10,4,Female,1,2,55,50,,
10,5,Female,1,2,57,65,,
10,6,Female,1,2,30,30,,
22,3,Male,1,2,51,50,,
