Fitness_vial_ID,Block,Population,Treatment,GFP,Sex,Rearing_vial,Red_female_offspring,Red_male_offspring,bw_female_offspring,bw_male_offspring,Comment
1,1,1,Female_limited,UBI,Female,1,71,77,34,31,
2,1,1,Female_limited,UBI,Female,1,78,80,32,38,
3,1,1,Female_limited,UBI,Female,1,NA,NA,NA,NA,Offspring dessication
4,1,1,Female_limited,UBI,Female,1,75,67,26,26,
5,1,1,Female_limited,UBI,Female,1,60,48,24,16,
6,1,1,Female_limited,UBI,Female,2,69,84,44,32,
7,1,1,Female_limited,UBI,Female,2,NA,NA,NA,NA,Offspring dessication
8,1,1,Female_limited,UBI,Female,2,83,67,43,14,
9,1,1,Female_limited,UBI,Female,2,65,61,33,40,
10,1,1,Female_limited,UBI,Female,2,87,84,29,25,
11,1,2,Male_limited,3xP,Female,3,78,60,26,26,
12,1,2,Male_limited,3xP,Female,3,81,86,37,30,
13,1,2,Male_limited,3xP,Female,3,107,105,17,16,
14,1,2,Male_limited,3xP,Female,3,63,41,11,4,
15,1,2,Male_limited,3xP,Female,3,73,40,7,5,
16,1,2,Male_limited,3xP,Female,4,55,26,5,3,
17,1,2,Male_limited,3xP,Female,4,57,41,5,5,
18,1,2,Male_limited,3xP,Female,4,73,75,10,5,
19,1,2,Male_limited,3xP,Female,4,67,79,31,23,
20,1,2,Male_limited,3xP,Female,4,84,78,37,34,
21,1,3,Female_limited,UBI,Female,5,53,57,38,18,
22,1,3,Female_limited,UBI,Female,5,91,107,22,20,
23,1,3,Female_limited,UBI,Female,5,59,28,17,5,
24,1,3,Female_limited,UBI,Female,5,46,20,14,5,
25,1,3,Female_limited,UBI,Female,5,47,21,19,13,
26,1,3,Female_limited,UBI,Female,6,79,76,32,21,
27,1,3,Female_limited,UBI,Female,6,67,27,13,2,
28,1,3,Female_limited,UBI,Female,6,75,49,6,7,
29,1,3,Female_limited,UBI,Female,6,90,67,17,7,
30,1,3,Female_limited,UBI,Female,6,NA,NA,NA,NA,Offspring dessication
31,1,4,Male_limited,3xP,Female,7,NA,NA,NA,NA,Offspring dessication
32,1,4,Male_limited,3xP,Female,7,57,63,18,16,
33,1,4,Male_limited,3xP,Female,7,75,64,25,22,
34,1,4,Male_limited,3xP,Female,7,38,12,1,1,
35,1,4,Male_limited,3xP,Female,7,64,82,15,13,
36,1,4,Male_limited,3xP,Female,8,68,60,2,3,
37,1,4,Male_limited,3xP,Female,8,64,66,40,32,
38,1,4,Male_limited,3xP,Female,8,82,54,20,15,
39,1,4,Male_limited,3xP,Female,8,95,94,23,15,
40,1,4,Male_limited,3xP,Female,8,71,56,25,32,
41,1,5,Male_limited,UBI,Female,9,76,72,31,36,
42,1,5,Male_limited,UBI,Female,9,78,93,19,21,
43,1,5,Male_limited,UBI,Female,9,78,44,12,5,
44,1,5,Male_limited,UBI,Female,9,108,76,29,28,
45,1,5,Male_limited,UBI,Female,9,93,74,22,23,
46,1,5,Male_limited,UBI,Female,10,99,86,31,19,
47,1,5,Male_limited,UBI,Female,10,72,63,24,26,
48,1,5,Male_limited,UBI,Female,10,75,60,24,32,
49,1,5,Male_limited,UBI,Female,10,28,22,34,16,
50,1,5,Male_limited,UBI,Female,10,73,77,36,45,
51,1,6,Female_limited,3xP,Female,11,71,74,13,23,
52,1,6,Female_limited,3xP,Female,11,57,57,24,17,
53,1,6,Female_limited,3xP,Female,11,53,55,21,17,
54,1,6,Female_limited,3xP,Female,11,63,50,19,7,
55,1,6,Female_limited,3xP,Female,11,53,31,8,2,
56,1,6,Female_limited,3xP,Female,11,72,109,13,24,
57,1,6,Female_limited,3xP,Female,11,70,48,19,14,
58,1,7,Male_limited,UBI,Female,13,56,48,36,29,
59,1,7,Male_limited,UBI,Female,13,64,67,36,36,
60,1,7,Male_limited,UBI,Female,13,60,48,18,22,
61,1,7,Male_limited,UBI,Female,14,54,46,17,30,
62,1,7,Male_limited,UBI,Female,14,50,55,38,35,
63,1,7,Male_limited,UBI,Female,14,72,81,34,36,
64,1,7,Male_limited,UBI,Female,14,88,79,23,28,
65,1,7,Male_limited,UBI,Female,14,76,63,35,30,
66,1,7,Male_limited,UBI,Female,14,65,60,31,21,
67,1,7,Male_limited,UBI,Female,14,62,38,20,19,
68,1,8,Female_limited,3xP,Female,15,67,71,38,28,
69,1,8,Female_limited,3xP,Female,15,76,70,32,15,
70,1,8,Female_limited,3xP,Female,15,86,88,20,23,
71,1,8,Female_limited,3xP,Female,15,59,56,24,27,
72,1,8,Female_limited,3xP,Female,15,40,73,17,20,
73,1,8,Female_limited,3xP,Female,16,40,42,16,20,
74,1,8,Female_limited,3xP,Female,16,57,73,21,21,
75,1,8,Female_limited,3xP,Female,16,88,70,15,24,
76,1,8,Female_limited,3xP,Female,16,81,58,17,12,
77,1,8,Female_limited,3xP,Female,16,70,62,18,17,
78,1,9,Control,UBI,Female,17,58,25,7,7,
79,1,9,Control,UBI,Female,17,51,47,34,38,
80,1,9,Control,UBI,Female,17,59,79,17,15,
81,1,9,Control,UBI,Female,17,78,83,40,38,
82,1,9,Control,UBI,Female,17,84,66,20,25,
83,1,9,Control,UBI,Female,18,62,64,19,22,
84,1,9,Control,UBI,Female,18,56,69,18,22,
85,1,9,Control,UBI,Female,18,73,66,42,36,
86,1,9,Control,UBI,Female,18,89,82,21,19,
87,1,9,Control,UBI,Female,18,56,53,19,30,
88,1,10,Control,UBI,Female,19,47,60,31,29,
89,1,10,Control,UBI,Female,19,67,52,40,47,
90,1,10,Control,UBI,Female,19,46,52,28,28,
91,1,10,Control,UBI,Female,20,71,63,19,18,
92,1,10,Control,UBI,Female,20,58,66,24,22,
93,1,10,Control,UBI,Female,20,85,76,23,33,
94,1,11,Control,3xP,Female,21,89,82,9,15,
95,1,11,Control,3xP,Female,21,93,78,18,22,
96,1,11,Control,3xP,Female,21,93,98,10,14,
97,1,11,Control,3xP,Female,21,74,94,6,11,
98,1,11,Control,3xP,Female,21,73,61,30,37,
99,1,11,Control,3xP,Female,21,56,44,34,32,
100,1,11,Control,3xP,Female,22,67,56,19,24,
101,1,11,Control,3xP,Female,22,80,79,19,18,
102,1,11,Control,3xP,Female,22,86,67,41,28,
103,1,11,Control,3xP,Female,22,64,71,24,27,
104,1,11,Control,3xP,Female,22,70,69,23,24,
105,1,11,Control,3xP,Female,22,63,75,15,20,
106,1,12,Control,3xP,Female,23,58,65,38,32,
107,1,12,Control,3xP,Female,23,61,62,30,34,
108,1,12,Control,3xP,Female,23,65,64,41,37,
109,1,12,Control,3xP,Female,23,94,77,19,22,
110,1,12,Control,3xP,Female,23,51,54,38,43,
111,1,12,Control,3xP,Female,23,103,88,33,27,
112,1,12,Control,3xP,Female,23,66,64,51,44,
113,1,12,Control,3xP,Female,23,55,50,36,29,
114,1,12,Control,3xP,Female,23,87,69,37,28,
115,1,12,Control,3xP,Female,24,47,60,42,54,
116,1,1,Female_limited,UBI,Male,1,45,41,13,16,
117,1,1,Female_limited,UBI,Male,1,57,64,6,8,
118,1,1,Female_limited,UBI,Male,1,22,27,33,30,
119,1,1,Female_limited,UBI,Male,1,38,52,29,28,
120,1,1,Female_limited,UBI,Male,1,41,47,12,11,
121,1,1,Female_limited,UBI,Male,2,44,35,7,7,
122,1,1,Female_limited,UBI,Male,2,19,15,1,3,
123,1,1,Female_limited,UBI,Male,2,41,51,8,7,
124,1,1,Female_limited,UBI,Male,2,42,55,10,8,
125,1,1,Female_limited,UBI,Male,2,41,48,22,16,
126,1,2,Male_limited,3xP,Male,3,55,65,0,0,
127,1,2,Male_limited,3xP,Male,3,64,41,26,24,
128,1,2,Male_limited,3xP,Male,3,62,61,3,7,
129,1,2,Male_limited,3xP,Male,3,43,57,16,14,
130,1,2,Male_limited,3xP,Male,3,29,22,0,0,
131,1,2,Male_limited,3xP,Male,4,77,71,0,0,
132,1,2,Male_limited,3xP,Male,4,51,55,17,18,
133,1,2,Male_limited,3xP,Male,4,72,71,6,10,
134,1,2,Male_limited,3xP,Male,4,35,36,25,30,
135,1,2,Male_limited,3xP,Male,4,42,43,12,22,
136,1,3,Female_limited,UBI,Male,5,56,48,18,24,
137,1,3,Female_limited,UBI,Male,5,40,43,12,8,
138,1,3,Female_limited,UBI,Male,5,54,47,2,3,
